hole_id,x,y,thickness_m,calorific_kcal_kg,coal_top_masl
SYN0001,1262.579551989595,2985.2645657889307,4.582843157848281,2165.7932477341606,1092.2487671953409
SYN0002,3493.1855947749004,6164.782105008015,17.46312911936907,2391.3394449934444,1161.1784814214243
SYN0003,361.58993193831003,5.8079525165308485,19.34259948725114,1925.7320967384317,1046.4169072727761
SYN0004,1693.4837311150313,5914.1103741016495,27.06666260304256,1560.4780606275704,1125.9564785014195
SYN0005,3028.238548349829,5888.346672792278,13.633634623440331,2399.554019826912,1168.591258003718
SYN0006,3037.1608561611906,1059.6984927531744,3.78166648911745,2272.091246937117,1120.2163572626632
SYN0007,3657.47911724724,2330.3535499687023,11.195355694104451,2845.9244440979337,1132.50061197825
SYN0008,3.832842176540753,284.0744339028608,18.58816765831475,2052.9519700179844,1049.1321365521758
SYN0009,107.86402075698786,3784.996269864473,13.193168505931432,2339.9526816767366,1091.4842001674924
SYN0010,2150.006191170924,662.5230562876501,18.267188996230196,1827.9658475002805,1092.4204241002483
SYN0011,2535.0772894553957,1040.8495980586986,13.266562399540302,2402.3499004114583,1098.1370866687655
SYN0012,1530.6349978759793,2173.8059478180953,3.467008275014973,2511.7488516689627,1091.3432599313385
SYN0013,3192.511902676826,1693.6955121123922,9.675036822763536,1892.9541973239625,1117.7802824200157
SYN0014,3607.2824680462927,6251.486171968313,11.893304034144103,2501.152555286305,1172.6093339112592
SYN0015,805.1633527726291,507.0617873763103,11.152832945165082,1431.23203397527,1054.5285370197057
SYN0016,2614.290492455324,944.2691154268232,13.165057792278716,1928.4936605509542,1101.5814322366605
SYN0017,2813.5815068594998,2267.5308476246037,18.368195604541846,2555.4360268692935,1119.8518908169478
SYN0018,418.59973384547277,4398.926547973482,18.59125732607251,1865.126308776848,1097.6932347044844
SYN0019,3106.99708286109,3073.069457246191,21.214231527594826,2437.212796608984,1147.5484358112215
SYN0020,425.2851828337255,439.87600800662653,18.085902138541062,2070.237420607494,1040.0
SYN0021,1034.661026767372,5494.983042757151,22.460554862343823,1588.914186839815,1111.899176877797
SYN0022,754.4150039015714,3937.914826226914,6.2821326096867915,1389.040665536163,1099.6201660888128
SYN0023,2101.2402134373,785.9034764053287,19.35342088022401,1688.10445611276,1098.1487991055462
SYN0024,2368.232497092015,3484.7128885249167,14.629046759987098,1837.2464515879565,1121.5944424741585
SYN0025,3178.5716317577667,1266.91092878839,5.471089241943281,2788.441706963177,1112.3372126442482
SYN0026,1294.0095486041616,1007.4480846932357,23.165958692758206,2274.5706954487864,1068.2211084346231
SYN0027,1970.253173420912,973.0359530757138,24.78842573267825,2123.741263181741,1095.0636802785302
SYN0028,3023.1603756675663,2522.043073466461,15.57965625608515,2544.7913961461304,1139.646909895312
SYN0029,630.5500533126257,6220.333427375425,25.367070389820597,1909.6062748505412,1104.3016557717503
SYN0030,195.55269956717018,5337.235498105965,6.555961485069842,1265.0106641616499,1107.22629527723
SYN0031,1830.7341978722561,5576.4497833919795,26.077985202431815,1559.82452029847,1130.8615308647404
SYN0032,1235.0224853865047,6113.023186701483,12.602557957255655,2384.270767648923,1123.2312302397652
SYN0033,2025.687273812578,5227.710102824637,30.396203147745574,1875.9335145001205,1140.8324036064062
SYN0034,801.0192482660805,760.7500459357218,24.752656315731773,1492.7012903266843,1069.3027471708233
SYN0035,1054.7185371892824,3162.6619356596193,5.746698316186708,2240.9600675976862,1084.9366525298365
SYN0036,1074.5489240100824,1885.852340283604,4.545857459377276,1879.0871584204804,1083.0098005820805
SYN0037,3082.0526173868698,992.0390002182336,1.901670558712565,2225.9323162954524,1120.4891008563052
